Latitude_Degrees;Longitude_Degrees;Ocean_Name;Ecoregion_Name;Distance_to_Shore;Exposure;Turbidity;Cyclone_Frequency;Date_Year;Percent_Bleaching;Temperature_Kelvin;Temperature_Mean
24.3431;124.2050;Pacific;South Ryukyu Islands Japan;362.45;Sheltered;0.048;64.82;2016;75;301.64;298.94
24.4376;123.7850;Pacific;South Ryukyu Islands Japan;195.08;Sheltered;0.0368;77.11;2016;75;302.08;299.1
24.7628;125.4272;Pacific;South Ryukyu Islands Japan;294.34;Sheltered;0.0375;71.99;2016;75;302.59;298.61
24.7735;125.3945;Pacific;South Ryukyu Islands Japan;96.62;Sheltered;0.0419;71.99;2013;75;302.9;298.54
24.8195;125.1409;Pacific;South Ryukyu Islands Japan;79.69;Exposed;0.0597;72.18;2016;75;303.3;298.69
24.9265;125.2379;Pacific;South Ryukyu Islands Japan;12;Sheltered;0.0517;63.88;2016;75;303.42;298.52
24.9375;125.2456;Pacific;South Ryukyu Islands Japan;22.47;Sheltered;0.0517;63.88;2013;75;302.63;298.52
24.9376;125.2457;Pacific;South Ryukyu Islands Japan;27.52;Sheltered;0.0517;63.88;2016;75;303.77;298.52
24.9856;125.2768;Pacific;South Ryukyu Islands Japan;6208.39;Exposed;0.0716;63.88;2016;75;302.38;298.57
25.0064;125.2768;Pacific;South Ryukyu Islands Japan;8228.82;Exposed;0.0544;57.98;2016;75;302.52;298.61
26.2208;127.6658;Pacific;North Ryukyu Islands Japan;32.82;Sheltered;0.0417;67.60;2015;75;300.48;297.88
26.4933;127.8402;Pacific;North Ryukyu Islands Japan;102.55;Sheltered;0.0208;64.30;2016;75;302.73;297.75
26.5232;127.8929;Pacific;North Ryukyu Islands Japan;1121.85;Exposed;0.0386;64.70;2016;75;302.77;297.74
26.7059;127.8919;Pacific;South Ryukyu Islands Japan;209.13;Sheltered;0.0375;66.87;2016;75;302.65;297.66
26.7073;127.9402;Pacific;North Ryukyu Islands Japan;243.32;Sheltered;0.0382;60.98;2016;75;301.39;297.64
26.7751;128.2031;Pacific;North Ryukyu Islands Japan;182.87;Exposed;0.0425;66.57;2013;75;301.46;297.67
27.8692;128.8875;Pacific;North Ryukyu Islands Japan;114.52;Exposed;0.034;60.53;2013;75;301.87;297.29
28.4025;129.4537;Pacific;North Ryukyu Islands Japan;54.69;Exposed;0.0458;63.81;2013;75;302.01;297.45
30.3011;130.6537;Pacific;South-east Kyushu Japan;63.49;Exposed;0.0498;61.61;2016;75;303.85;296.65
30.8160;130.4165;Pacific;South-east Kyushu Japan;33.16;Exposed;0.0553;66.76;2016;75;300.61;296.18
32.7670;132.6300;Pacific;Shikoku Japan;17.36;Sheltered;0.068;56.55;2016;75;299.92;295.24
32.7975;132.7091;Pacific;Shikoku Japan;25.05;Sheltered;0.0752;57.74;2010;75;300.52;295.36
34.3232;129.2460;Pacific;North Kyushu and South Korea;20.31;Sheltered;0.0977;66.70;2013;75;298.08;293.07
4.27;113.81;Pacific;Sunda Shelf south-east Asia;11448.75;Exposed;0.1771;52.98;2010;75;300.88;302.56
4.27;113.81;Pacific;Sunda Shelf south-east Asia;11448.75;Exposed;0.1771;52.98;2010;75;303.39;302.56
4.27;113.81;Pacific;Sunda Shelf south-east Asia;11448.75;Exposed;0.1771;52.98;2010;75;303.51;302.56
6.063;100.04;Pacific;Andaman Sea;96.56;Sometimes;0.1509;48.64;2010;75;302.86;303.08
13.7246;120.8794;Pacific;North Philippines;69.87;Sheltered;0.0806;54.95;2010;75;302.94;300.94
7.73;98.74;Indian;Andaman Sea;1789.48;Sheltered;0.0679;48.13;2010;75;304.87;302.57
11.4167;-64.0833;Atlantic;Netherlands Antilles and south Caribbean;34520.09;Exposed;0.1345;46.89;2010;75;302.39;299.12
24.4571;124.0986;Pacific;South Ryukyu Islands Japan;434.38;Exposed;0.0422;50.23;2010;0;300.94;298.93
24.7998;125.1786;Pacific;South Ryukyu Islands Japan;842.8;Exposed;0.044;68.54;2010;0;299.15;298.64
26.4435;127.7727;Pacific;North Ryukyu Islands Japan;12.45;Exposed;0.0341;64.30;2010;0;301.95;297.82
30.4581;130.4891;Pacific;South-east Kyushu Japan;54.41;Exposed;0.0445;66.97;2016;0;304.05;296.76
32.7734;132.6247;Pacific;Shikoku Japan;96.45;Sheltered;0.0673;56.55;2011;0;301.6;295.24
32.7773;132.8703;Pacific;Shikoku Japan;118.99;Sometimes;0.0646;60.35;2016;0;296.53;295.46
32.8134;129.0542;Pacific;North Kyushu and South Korea;596.82;Exposed;0.0787;58.98;2013;0;297.66;293.57
32.8232;129.7190;Pacific;North Kyushu and South Korea;48.74;Sheltered;0.0922;60.43;2011;0;298.3;293.48
32.8565;132.6617;Pacific;Shikoku Japan;5.81;Sheltered;0.1221;55.44;2011;0;295.98;295.26
33.4836;135.6930;Pacific;Shikoku Japan;65.48;Sheltered;0.0979;65.12;2010;0;298.82;295.18
33.5213;133.7536;Pacific;Shikoku Japan;55.32;Sheltered;0.1032;57.47;2016;0;298.77;294.75
33.6865;135.3305;Pacific;Shikoku Japan;554.04;Sometimes;0.0723;58.86;2010;0;296.37;294.50
33.6924;135.3247;Pacific;Shikoku Japan;113.84;Exposed;0.0723;58.86;2010;0;296.37;294.50
33.6942;135.3398;Pacific;Shikoku Japan;32.65;Sheltered;0.0796;58.86;2010;0;289.66;294.50
34.8222;139.0797;Pacific;Honshu Japan;116.25;Exposed;0.0974;57.62;2010;0;299.99;292.91
34.8223;139.0783;Pacific;Honshu Japan;40.9;Exposed;0.0985;57.62;2010;0;287.63;292.91
34.8261;138.7654;Pacific;Honshu Japan;111.67;Sheltered;0.0983;59.29;2012;0;289.53;293.00
34.8265;139.0797;Pacific;Honshu Japan;91.02;Exposed;0.0966;57.62;2010;0;287.73;292.81
34.8300;139.0767;Pacific;Honshu Japan;136.51;Exposed;0.0975;57.62;2010;0;296.75;292.81
34.8326;138.7584;Pacific;Honshu Japan;439.63;Exposed;0.1000;59.29;2012;0;289.53;293.00
34.8378;138.7590;Pacific;Honshu Japan;201.56;Exposed;0.0778;60.05;2010;0;300.15;293.00
34.8385;138.7550;Pacific;Honshu Japan;559.14;Exposed;0.0778;60.05;2012;0;289.53;293.00
34.8439;138.7619;Pacific;Honshu Japan;48.29;Exposed;0.0778;60.05;2010;0;300.15;293.00
35.0005;138.7774;Pacific;Honshu Japan;85.99;Exposed;0.1473;58.87;2010;0;287.76;292.84
35.1289;139.1473;Pacific;Honshu Japan;1353.76;Exposed;0.1454;57.50;2010;0;287.18;292.58
24.4186;123.8482;Pacific;South Ryukyu Islands Japan;1581.36;Sheltered;0.0422;66.81;2010;0;297.86;299.07
26.1099;127.6535;Pacific;North Ryukyu Islands Japan;487.78;Sheltered;0.027;67.22;2010;0;301.17;298.14
26.3318;127.7417;Pacific;North Ryukyu Islands Japan;91.44;Exposed;0.046;65.56;2010;0;301.01;297.82
26.7129;128.0220;Pacific;North Ryukyu Islands Japan;48.9;Sheltered;0.0424;60.98;2010;0;302.14;297.62
26.7137;128.0221;Pacific;North Ryukyu Islands Japan;136.19;Exposed;0.0424;60.98;2010;0;302.14;297.62
33.0621;132.4060;Pacific;Shikoku Japan;30.08;Sheltered;0.1111;57.97;2012;0;299.85;293.47
24.3026;124.0734;Pacific;South Ryukyu Islands Japan;1374.05;Exposed;0.0641;60.68;2010;0;298.79;298.88
24.3125;124.0713;Pacific;South Ryukyu Islands Japan;819.73;Exposed;0.0641;60.68;2010;0;299.08;298.88
24.3294;124.1924;Pacific;South Ryukyu Islands Japan;587.61;Sheltered;0.0413;65.89;2010;0;302.95;298.95
24.3429;124.0625;Pacific;South Ryukyu Islands Japan;2018.86;Exposed;0.0509;65.58;2010;0;302.31;298.83
24.3458;124.0638;Pacific;South Ryukyu Islands Japan;2058.68;Exposed;0.0509;65.58;2010;0;302.31;298.83
24.3609;124.0453;Pacific;South Ryukyu Islands Japan;4197.27;Exposed;0.0509;65.58;2010;0;302.31;298.83
24.3721;123.9756;Pacific;South Ryukyu Islands Japan;1937.7;Exposed;0.0516;65.58;2010;0;300.82;298.9
24.4207;124.0889;Pacific;South Ryukyu Islands Japan;165.08;Sheltered;0.0422;50.23;2010;0;297.03;298.90
24.4224;124.0766;Pacific;South Ryukyu Islands Japan;306.25;Exposed;0.0435;66.81;2010;0;298.95;298.90
24.4234;124.0728;Pacific;South Ryukyu Islands Japan;370.3;Exposed;0.0435;66.81;2010;0;303.11;298.90
24.4239;124.0752;Pacific;South Ryukyu Islands Japan;259.37;Exposed;0.0435;66.81;2010;0;302.34;298.90
24.4247;124.0735;Pacific;South Ryukyu Islands Japan;213.41;Exposed;0.0435;66.81;2010;0;302.34;298.90
24.4250;124.0762;Pacific;South Ryukyu Islands Japan;152.32;Exposed;0.0435;66.81;2010;0;301.73;298.90
24.4429;124.0734;Pacific;South Ryukyu Islands Japan;445.29;Exposed;0.0435;66.81;2010;0;303.11;298.90
24.4483;124.0794;Pacific;South Ryukyu Islands Japan;94.34;Sheltered;0.0435;66.81;2011;0;297.94;298.90
24.4495;124.1739;Pacific;South Ryukyu Islands Japan;52.92;Sheltered;0.0355;50.23;2010;0;300.30;298.87
24.4495;124.1758;Pacific;South Ryukyu Islands Japan;46.32;Sheltered;0.0355;50.23;2010;0;300.08;298.87
24.4523;124.1818;Pacific;South Ryukyu Islands Japan;153.13;Exposed;0.0355;50.23;2016;0;303.2;298.87
24.4530;124.1814;Pacific;South Ryukyu Islands Japan;246.88;Exposed;0.0355;50.23;2010;0;302.32;298.86
24.4536;124.0872;Pacific;South Ryukyu Islands Japan;170.3;Exposed;0.0422;50.23;2010;0;302.31;298.93
24.4537;124.0875;Pacific;South Ryukyu Islands Japan;192.74;Exposed;0.0422;50.23;2010;0;297.88;298.93
24.4544;124.0781;Pacific;South Ryukyu Islands Japan;93.58;Exposed;0.0435;66.81;2010;0;302.38;298.93
24.4554;124.0863;Pacific;South Ryukyu Islands Japan;357.38;Exposed;0.0422;50.23;2010;0;300.94;298.93
24.4554;124.0879;Pacific;South Ryukyu Islands Japan;381.36;Exposed;0.0422;50.23;2010;0;301.71;298.93
24.4599;124.1943;Pacific;South Ryukyu Islands Japan;247.74;Exposed;0.0355;50.23;2010;0;301.66;298.84
24.4662;124.1901;Pacific;South Ryukyu Islands Japan;988.82;Exposed;0.0355;50.23;2010;0;302;298.86
24.4963;124.2285;Pacific;South Ryukyu Islands Japan;121.92;Sheltered;0.0371;50.23;2011;0;302.54;298.85
24.6427;124.7265;Pacific;South Ryukyu Islands Japan;658.55;Sheltered;0.0382;65.17;2010;0;303.07;298.78
26.0880;127.7103;Pacific;North Ryukyu Islands Japan;112.74;Sheltered;0.0244;67.22;2011;0;294.02;298.19
26.1864;127.7793;Pacific;North Ryukyu Islands Japan;93.57;Sometimes;0.0565;56.84;2010;0;295.98;297.93
26.2576;127.6837;Pacific;North Ryukyu Islands Japan;72.53;Sheltered;0.0432;65.56;2010;0;302.17;297.92
26.2580;127.6816;Pacific;North Ryukyu Islands Japan;122.49;Sheltered;0.0432;65.56;2010;0;302.17;297.92
26.2649;127.6919;Pacific;North Ryukyu Islands Japan;580.82;Exposed;0.0432;65.56;2011;0;293.91;297.92
